endTime,artist,track,time
23/06/2021 11:21,Summer Walker,My Affection (with PARTYNEXTDOOR),3.56555
23/06/2021 11:24,Jhené Aiko,P*ssY Fairy (OTW),3.031
23/06/2021 11:28,Petit Biscuit,Sunset Lover,3.9632
23/06/2021 11:32,PnB Rock,Selfish,4.0934
23/06/2021 11:35,Bryson Tiller,Don't,3.304883333
23/06/2021 11:39,Jeremy Zucker,thinking 2 much,3.824216667
23/06/2021 11:43,Young Thug,The London (feat. J. Cole & Travis Scott),3.336433333
23/06/2021 11:44,PARTYNEXTDOOR,SHOWING YOU,0.636816667
23/06/2021 17:45,Eluzai,call my friends...,0.76585
23/06/2021 17:45,PARTYNEXTDOOR,SHOWING YOU,4.781533333
23/06/2021 18:01,Kina,Wish I Was Better,1.0201
23/06/2021 18:02,Powfu,death bed (coffee for your head),0.506066667
23/06/2021 18:02,Kina,Baby You're Worth It,0.008
23/06/2021 18:02,The Kid LAROI,WITHOUT YOU,0.114833333
23/06/2021 18:02,The Kid LAROI,WITHOUT YOU,0.021
23/06/2021 18:04,Kina,Baby You're Worth It,2.182083333
23/06/2021 18:08,Jeremy Zucker,comethru,3.026883333
23/06/2021 18:09,sagun,I'll Keep You Safe,1.433533333
23/06/2021 18:27,Powfu,im used to it,0.8825
23/06/2021 18:27,NF,Chasing_(Demo),0.015833333
23/06/2021 18:51,Finding Hope,03:00 AM,0.610666667
23/06/2021 18:51,Kina,Get You The Moon (feat. Snøw),0.017833333
23/06/2021 18:51,Kina,Get You The Moon (feat. Snøw),0.0155
23/06/2021 18:51,Jeremy Zucker,talk is overrated,0.034666667
23/06/2021 18:51,Yxngxr1,Rather Do,0.008166667
23/06/2021 18:51,gianni & kyle,do u even miss me at all?,0
23/06/2021 18:51,Alec Benjamin,Let Me Down Slowly,0.017333333
23/06/2021 18:54,Alec Benjamin,If We Have Each Other,3.025366667
23/06/2021 18:54,tobi lou,Darlin',0
23/06/2021 18:54,Timmies,Tell Me Why I'm Waiting,0.014833333
23/06/2021 18:54,khai dreams,Come True,0
23/06/2021 18:54,EDEN,XO,0.016666667
23/06/2021 18:54,Mishaal,Friends (feat. Powfu),0.207783333
23/06/2021 18:54,Trevor Daniel,Falling (Summer Walker Remix),0
23/06/2021 18:54,Arizona Zervas,NIGHTRIDER,0.0205
23/06/2021 18:56,khai dreams,Come True,1.726166667
23/06/2021 18:58,Dean Lewis,Be Alright,1.896166667
23/06/2021 18:58,One Direction,One Way or Another (Teenage Kicks),0.045833333
23/06/2021 19:03,NF,Oh Lord,3.304216667
23/06/2021 19:27,Justin Timberlake,Mirrors,3.986533333
24/06/2021 04:32,ASTN,eighty five 911,0.25325
24/06/2021 04:32,ASTN,Love No More,0.190033333
24/06/2021 04:32,ASTN,Butterflies,0.2158
24/06/2021 04:49,ASTN,Flowers,0.255766667
24/06/2021 04:49,DJ Khaled,GREECE (feat. Drake),3.64835
24/06/2021 04:55,DYAN,Looking for Knives,6.2311
24/06/2021 05:00,John Mayer,I Guess I Just Feel Like,4.773766667
24/06/2021 05:01,Young Thug,Relationship (feat. Future),0.763766667
24/06/2021 06:31,Young Thug,Relationship (feat. Future),3.581016667
24/06/2021 06:33,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),2.395133333
24/06/2021 06:36,Imagine Dragons,Thunder,3.1191
24/06/2021 06:40,NF,Only,3.757333333
24/06/2021 06:41,Justin Bieber,Habitual,0.368166667
24/06/2021 06:43,Justin Bieber,Habitual,0.40745
24/06/2021 07:31,Kina,I've Changed for You,0.004166667
24/06/2021 07:31,Jez Dior,Old No. 7 - Feat. G-Eazy,0.00175
24/06/2021 07:31,DYAN,Looking for Knives,0.008
24/06/2021 07:32,Post Malone,Deja Vu,0.005433333
24/06/2021 07:32,Teqkoi,Please Come Back,0
24/06/2021 07:32,Wiz Khalifa,Homework (feat. THEMXXNLIGHT),0.1046
24/06/2021 07:32,Russ,Do It Myself,0
24/06/2021 07:34,Joji,worldstar money (interlude),2.1052
24/06/2021 07:37,sagun,I'll Keep You Safe,3.097916667
24/06/2021 07:39,Jhove,closed eyes,0.041383333
24/06/2021 07:39,Shiloh Dynasty,Dance with Me,0
24/06/2021 07:39,Jhove,After Hours,2.426633333
24/06/2021 07:41,Shiloh Dynasty,Dance with Me,1.456733333
24/06/2021 07:43,Jhove,closed eyes,2.3027
24/06/2021 07:44,Kasper Lindmark,Intimate,1.052616667
24/06/2021 07:46,mell-ø,Stargazing,2
24/06/2021 07:48,dontaskalex,Heaven,1.662433333
24/06/2021 10:10,Tyga,SWISH,0.1985
24/06/2021 10:10,Justin Timberlake,Mirrors,0.028333333
24/06/2021 10:12,Teqkoi,I'm Not Enough and I'm Sorry,2
24/06/2021 10:15,Powfu,death bed (coffee for your head),2.062666667
24/06/2021 10:16,Jaymes Young,Moondust,1.748666667
24/06/2021 15:15,ASTN,eighty five 911,1.129833333
24/06/2021 19:29,The Weeknd,Shameless,2.8195
24/06/2021 19:32,The Weeknd,Often - Kygo Remix,2.330333333
24/06/2021 19:36,The Weeknd,Twenty Eight,4.30755
24/06/2021 19:39,The Weeknd,High For This,2.249416667
24/06/2021 19:39,The Weeknd,High For This,0.036666667
24/06/2021 19:45,The Weeknd,Wicked Games,5.395766667
24/06/2021 19:52,The Weeknd,The Party & The After Party,7.656433333
24/06/2021 19:59,The Weeknd,I Was Never There,5.98185
24/06/2021 20:05,The Weeknd,Loft Music,6.060666667
24/06/2021 20:13,The Weeknd,After Hours,6.0171
24/06/2021 20:16,The Weeknd,Can't Feel My Face,3.558666667
24/06/2021 20:20,The Weeknd,Often - Kygo Remix,3.5159
25/06/2021 15:35,ASTN,Butterflies,1.79445
25/06/2021 15:35,ASTN,Butterflies,0.06425
25/06/2021 15:38,ASTN,eighty five 911,2.692716667
25/06/2021 15:41,AP Dhillon,Brown Munde,3.221083333
25/06/2021 15:45,Post Malone,Go Flex,2.192816667
25/06/2021 15:45,Chelsea Cutler,Your Shirt,0
25/06/2021 15:45,Ty Dolla sign,Long Time (feat. Quavo),0
25/06/2021 15:45,ZAYN,Back To Life,0
25/06/2021 15:45,The Marías,Cariño,0.000383333
25/06/2021 15:45,Coldplay,Viva La Vida,0.00105
25/06/2021 15:45,MC Fioti,Bum Bum Tam Tam,0.0455
25/06/2021 15:45,Nick Jonas,Close,0.0041
25/06/2021 15:46,Kid Cudi,Another Day,1.576366667
